08/10/2015,1106,118.46,118.5,118.45,118.49,45721
08/10/2015,1107,118.49,118.5,118.46,118.49,79609
08/10/2015,1108,118.48,118.49,118.46,118.48,45184
08/10/2015,1109,118.49,118.49,118.4,118.42,98604
08/10/2015,1110,118.42,118.45,118.41,118.43,66886
08/10/2015,1111,118.43,118.44,118.33,118.33,122140
08/10/2015,1112,118.34,118.34,118.21,118.28,199904
08/10/2015,1113,118.28,118.37,118.26,118.35,88796
08/10/2015,1114,118.35,118.4,118.3,118.4,88976
08/10/2015,1115,118.39,118.47,118.36,118.47,121194
08/10/2015,1116,118.47,118.47,118.41,118.41,79135
08/10/2015,1117,118.4,118.49,118.4,118.48,43115
08/10/2015,1118,118.49,118.5,118.44,118.49,73648
08/10/2015,1119,118.48,118.5,118.43,118.45,48762
08/10/2015,1120,118.45,118.49,118.43,118.48,51984
08/10/2015,1121,118.48,118.49,118.43,118.46,56073
08/10/2015,1122,118.46,118.49,118.45,118.48,41079
08/10/2015,1123,118.48,118.63,118.48,118.61,249625
08/10/2015,1124,118.62,118.68,118.61,118.67,146448
08/10/2015,1125,118.67,118.8,118.67,118.8,290432
08/10/2015,1126,118.79,118.8,118.72,118.75,137375
08/10/2015,1127,118.74,118.78,118.67,118.72,132847
08/10/2015,1128,118.7,118.73,118.65,118.7,111761
08/10/2015,1129,118.7,118.75,118.68,118.75,47175
08/10/2015,1130,118.74,118.77,118.72,118.77,77014
08/10/2015,1131,118.77,118.79,118.75,118.77,75785
08/10/2015,1132,118.77,118.84,118.73,118.74,145403
08/10/2015,1133,118.74,118.84,118.73,118.84,126772
08/10/2015,1134,118.83,118.87,118.82,118.86,88716
08/10/2015,1135,118.86,118.87,118.77,118.87,109044
08/10/2015,1136,118.87,118.87,118.83,118.83,50940
08/10/2015,1137,118.86,118.86,118.75,118.79,50478
08/10/2015,1138,118.79,118.84,118.77,118.77,59582
08/10/2015,1139,118.77,118.8,118.76,118.78,48736
08/10/2015,1140,118.78,118.86,118.78,118.84,83111
08/10/2015,1141,118.84,118.85,118.8,118.81,62013
08/10/2015,1142,118.8,118.8,118.69,118.71,112430
08/10/2015,1143,118.71,118.79,118.69,118.77,157456
08/10/2015,1144,118.78,118.8,118.77,118.78,50446
08/10/2015,1145,118.78,118.89,118.78,118.88,151688
08/10/2015,1146,118.89,118.95,118.86,118.95,147675
08/10/2015,1147,118.94,118.99,118.93,118.97,118175
08/10/2015,1148,118.97,119.06,118.96,119.03,294793
08/10/2015,1149,119.04,119.07,119.02,119.06,120605
08/10/2015,1150,119.06,119.2,119.06,119.19,217971
08/10/2015,1151,119.18,119.2,119.11,119.11,160615
08/10/2015,1152,119.13,119.18,119.11,119.16,113496
08/10/2015,1153,119.16,119.2,119.07,119.08,205297
08/10/2015,1154,119.08,119.1,119.01,119.01,146772
08/10/2015,1155,119.02,119.18,119.01,119.18,81890
08/10/2015,1156,119.18,119.21,118.97,118.97,193103
08/10/2015,1157,118.97,119.07,118.97,119.06,100404
08/10/2015,1158,119.05,119.07,119,119.05,71448
08/10/2015,1159,119.04,119.08,119.03,119.04,67611
08/10/2015,1200,119.03,119.07,119.02,119.05,118177
08/10/2015,1201,119.04,119.17,119.04,119.17,139633
08/10/2015,1202,119.18,119.23,119.14,119.14,119748
08/10/2015,1203,119.15,119.16,119.05,119.1,109518
08/10/2015,1204,119.11,119.19,119.1,119.15,58833
08/10/2015,1205,119.13,119.22,119.13,119.18,68223
08/10/2015,1206,119.19,119.24,119.12,119.23,62919
08/10/2015,1207,119.22,119.24,119.2,119.21,75152
08/10/2015,1208,119.21,119.38,119.2,119.35,215748
08/10/2015,1209,119.35,119.37,119.27,119.32,165944
08/10/2015,1210,119.33,119.36,119.28,119.34,116150
08/10/2015,1211,119.35,119.38,119.3,119.38,92633
08/10/2015,1212,119.38,119.39,119.25,119.29,128693
08/10/2015,1213,119.29,119.29,119.16,119.17,171640
08/10/2015,1214,119.18,119.24,119.18,119.23,109244
08/10/2015,1215,119.23,119.28,119.21,119.27,136152
08/10/2015,1216,119.26,119.27,119.19,119.24,122382
08/10/2015,1217,119.24,119.27,119.17,119.23,85929
08/10/2015,1218,119.22,119.22,119.12,119.19,139262
08/10/2015,1219,119.19,119.19,119.13,119.17,89601
08/10/2015,1220,119.17,119.2,119.16,119.18,86198
08/10/2015,1221,119.19,119.21,119.16,119.17,89966
08/10/2015,1222,119.17,119.17,119.11,119.17,151188
08/10/2015,1223,119.16,119.17,119.05,119.09,122355
08/10/2015,1224,119.08,119.09,118.91,118.92,202066
08/10/2015,1225,118.92,119.04,118.92,118.96,141862
08/10/2015,1226,118.96,119.05,118.96,119.01,130066
08/10/2015,1227,119.01,119.03,118.97,118.98,89220
08/10/2015,1228,118.98,119.06,118.98,119.04,78885
08/10/2015,1229,119.04,119.07,119.02,119.05,60053
08/10/2015,1230,119.04,119.1,119.03,119.03,70723
08/10/2015,1231,119.03,119.04,118.97,118.98,73729
08/10/2015,1232,118.97,118.98,118.92,118.93,149276
08/10/2015,1233,118.93,118.98,118.91,118.93,152740
08/10/2015,1234,118.94,118.96,118.89,118.93,101726
08/10/2015,1235,118.93,119.06,118.93,119.04,104205
08/10/2015,1236,119.03,119.08,118.97,119.08,80275
08/10/2015,1237,119.08,119.12,119.07,119.12,67184
08/10/2015,1238,119.12,119.15,119.08,119.08,67561
08/10/2015,1239,119.08,119.18,119.07,119.18,71874
08/10/2015,1240,119.17,119.18,119.15,119.18,42471
08/10/2015,1241,119.18,119.25,119.17,119.23,102602
08/10/2015,1242,119.24,119.27,119.19,119.25,88275
08/10/2015,1243,119.26,119.27,119.25,119.25,51721
08/10/2015,1244,119.25,119.25,119.2,119.22,53618
08/10/2015,1245,119.23,119.24,119.22,119.24,31661
08/10/2015,1246,119.24,119.25,119.23,119.23,26268
08/10/2015,1247,119.23,119.34,119.23,119.33,93549
08/10/2015,1248,119.33,119.34,119.3,119.31,60184
08/10/2015,1249,119.31,119.34,119.31,119.33,30600
08/10/2015,1250,119.34,119.38,119.32,119.36,90257
08/10/2015,1251,119.35,119.37,119.32,119.33,104306
08/10/2015,1252,119.33,119.36,119.27,119.36,90160
08/10/2015,1253,119.36,119.43,119.35,119.36,146030
08/10/2015,1254,119.36,119.36,119.29,119.3,55489
08/10/2015,1255,119.3,119.31,119.25,119.29,76982
08/10/2015,1256,119.29,119.32,119.24,119.32,73654
08/10/2015,1257,119.32,119.37,119.27,119.36,80848
08/10/2015,1258,119.36,119.43,119.36,119.41,79851
08/10/2015,1259,119.4,119.44,119.4,119.42,71217
08/10/2015,1300,119.42,119.47,119.41,119.45,130230
08/10/2015,1301,119.45,119.54,119.45,119.53,177266
08/10/2015,1302,119.52,119.54,119.48,119.53,68561
08/10/2015,1303,119.53,119.57,119.53,119.55,68963
08/10/2015,1304,119.55,119.6,119.49,119.59,124160
08/10/2015,1305,119.59,119.6,119.53,119.6,73271
08/10/2015,1306,119.6,119.68,119.45,119.45,153861
08/10/2015,1307,119.45,119.5,119.43,119.45,114437
08/10/2015,1308,119.47,119.5,119.45,119.49,44440
08/10/2015,1309,119.5,119.59,119.49,119.56,64861
08/10/2015,1310,119.57,119.65,119.55,119.62,105297
08/10/2015,1311,119.61,119.62,119.58,119.62,55660
08/10/2015,1312,119.62,119.63,119.6,119.61,87403
08/10/2015,1313,119.61,119.61,119.56,119.58,90114
08/10/2015,1314,119.58,119.59,119.48,119.49,89838
08/10/2015,1315,119.49,119.51,119.46,119.5,92514
08/10/2015,1316,119.5,119.56,119.49,119.52,52125
08/10/2015,1317,119.53,119.53,119.46,119.49,70197
08/10/2015,1318,119.48,119.49,119.39,119.4,105820
08/10/2015,1319,119.4,119.49,119.4,119.45,93100
08/10/2015,1320,119.45,119.48,119.42,119.47,52967
