Mon Oct 19 09:31:27 UTC-04:00 2015,47.36,47.52,47.2,47.52,-0.15,-0.315723006
Mon Oct 19 09:31:27 UTC-04:00 2015,47.36,47.52,47.2,47.52,-0.15,-0.315723006
Mon Oct 19 09:31:20 UTC-04:00 2015,47.34,47.52,47.2,47.52,-0.17,-0.357819406
Mon Oct 19 09:31:20 UTC-04:00 2015,47.34,47.52,47.2,47.52,-0.17,-0.357819406
Mon Oct 19 09:31:43 UTC-04:00 2015,47.34,47.52,47.2,47.52,-0.17,-0.357819406
Mon Oct 19 09:31:25 UTC-04:00 2015,47.34,47.52,47.2,47.52,-0.17,-0.357819406
Mon Oct 19 09:31:26 UTC-04:00 2015,47.36,47.52,47.2,47.52,-0.15,-0.315723006
Mon Oct 19 09:31:27 UTC-04:00 2015,47.36,47.52,47.2,47.52,-0.15,-0.315723006
Mon Oct 19 09:31:27 UTC-04:00 2015,47.36,47.52,47.2,47.52,-0.15,-0.315723006
Mon Oct 19 09:31:41 UTC-04:00 2015,47.34,47.52,47.2,47.52,-0.17,-0.357819406
Mon Oct 19 09:31:42 UTC-04:00 2015,47.34,47.52,47.2,47.52,-0.17,-0.357819406
Mon Oct 19 09:31:54 UTC-04:00 2015,47.33,47.52,47.2,47.52,-0.18,-0.378867607
Mon Oct 19 09:31:54 UTC-04:00 2015,47.33,47.52,47.2,47.52,-0.18,-0.378867607
Mon Oct 19 09:31:25 UTC-04:00 2015,47.34,47.52,47.2,47.52,-0.17,-0.357819406
Mon Oct 19 09:31:58 UTC-04:00 2015,47.3,47.52,47.2,47.52,-0.21,-0.442012208
Mon Oct 19 09:31:58 UTC-04:00 2015,47.3,47.52,47.2,47.52,-0.21,-0.442012208
Mon Oct 19 09:32:01 UTC-04:00 2015,47.31,47.52,47.2,47.52,-0.2,-0.420964008
Mon Oct 19 09:31:42 UTC-04:00 2015,47.34,47.52,47.2,47.52,-0.17,-0.357819406
Mon Oct 19 09:31:43 UTC-04:00 2015,47.34,47.52,47.2,47.52,-0.17,-0.357819406
Mon Oct 19 09:31:43 UTC-04:00 2015,47.34,47.52,47.2,47.52,-0.17,-0.357819406
Mon Oct 19 09:31:25 UTC-04:00 2015,47.34,47.52,47.2,47.52,-0.17,-0.357819406
Mon Oct 19 09:31:47 UTC-04:00 2015,47.34,47.52,47.2,47.52,-0.17,-0.357819406
Mon Oct 19 09:31:58 UTC-04:00 2015,47.3,47.52,47.2,47.52,-0.21,-0.442012208
Mon Oct 19 09:31:58 UTC-04:00 2015,47.3,47.52,47.2,47.52,-0.21,-0.442012208
Mon Oct 19 09:32:12 UTC-04:00 2015,47.3,47.52,47.2,47.52,-0.21,-0.442012208
Mon Oct 19 09:32:03 UTC-04:00 2015,47.31,47.52,47.2,47.52,-0.2,-0.420964008
Mon Oct 19 09:32:03 UTC-04:00 2015,47.31,47.52,47.2,47.52,-0.2,-0.420964008
Mon Oct 19 09:32:03 UTC-04:00 2015,47.31,47.52,47.2,47.52,-0.2,-0.420964008
Mon Oct 19 09:31:25 UTC-04:00 2015,47.34,47.52,47.2,47.52,-0.17,-0.357819406
Mon Oct 19 09:31:58 UTC-04:00 2015,47.3,47.52,47.2,47.52,-0.21,-0.442012208
Mon Oct 19 09:32:20 UTC-04:00 2015,47.26,47.52,47.2,47.52,-0.25,-0.526205009
Mon Oct 19 09:32:12 UTC-04:00 2015,47.3,47.52,47.2,47.52,-0.21,-0.442012208
Mon Oct 19 09:32:13 UTC-04:00 2015,47.28,47.52,47.2,47.52,-0.23,-0.484108609
Mon Oct 19 09:32:25 UTC-04:00 2015,47.27,47.52,47.2,47.52,-0.24,-0.505156809
Mon Oct 19 09:32:25 UTC-04:00 2015,47.27,47.52,47.2,47.52,-0.24,-0.505156809
Mon Oct 19 09:31:25 UTC-04:00 2015,47.34,47.52,47.2,47.52,-0.17,-0.357819406
Mon Oct 19 09:31:25 UTC-04:00 2015,47.34,47.52,47.2,47.52,-0.17,-0.357819406
Mon Oct 19 09:31:58 UTC-04:00 2015,47.3,47.52,47.2,47.52,-0.21,-0.442012208
